127.0.0.1 - - [06/Oct/2013:13:45:25 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:13:45:35 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:08 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:09 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:09 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:09 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:09 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:07:10 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:26 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 500 3160
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:26 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:27 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:27 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:33 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:47:34 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:48:53 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:48:53 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:51:01 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:51:01 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:53:49 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Oct/2013:14:53:50 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:03:12 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:03:12 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:04:42 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:04:43 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:31 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:32 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:49 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:49 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:50 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:50 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:50 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:05:50 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1545
