127.0.0.1 - - [01/Jul/2015:20:41:52 -0500] "GET / HTTP/1.1" 404 961
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/index.jsp HTTP/1.1" 200 1678
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cstyles.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap.min.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap-responsive.min.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cnormalize.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cbootstrap.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/img%5Cinicio.png HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:54 -0500] "GET /Sistema_de_Pruebas_Academicas/img%5Cinicio.png HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:41:55 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [01/Jul/2015:20:41:55 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/index.jsp HTTP/1.1" 200 1678
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cstyles.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap.min.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap-responsive.min.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cnormalize.css HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cbootstrap.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/img%5Cinicio.png HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
127.0.0.1 - - [01/Jul/2015:20:43:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
